== Output:

mandelbrot, single, cpy_cppyy, 0.343 sec
mandelbrot, simple, cpy_cppyy, 1.932 sec
mandelbrot, complex, cpy_cppyy, 2.696 sec
mandelbrot, single, pypy_cffi, 0.453 sec
mandelbrot, simple, pypy_cffi, 0.882 sec
mandelbrot, complex, pypy_cffi, 1.175 sec
gameoflife, single, cpp, 0.071 sec
gameoflife, simple, cpp, 0.096 sec
gameoflife, complex, cpp, 0.051 sec
gameoflife, single, cpy_cython, 0.070 sec
gameoflife, simple, cpy_cython, 1.279 sec
gameoflife, complex, cpy_cython, 14.380 sec
gameoflife, single, cpy_swig, 0.071 sec
gameoflife, simple, cpy_swig, 1.278 sec
gameoflife, complex, cpy_swig, 13.934 sec
gameoflife, single, cpy_manual, 0.069 sec
gameoflife, simple, cpy_manual, 1.363 sec
gameoflife, complex, cpy_manual, 14.671 sec
gameoflife, single, cpy_cffi, 0.069 sec
gameoflife, simple, cpy_cffi, 3.763 sec
gameoflife, complex, cpy_cffi, 20.650 sec
gameoflife, single, cpy_nanobind, 0.076 sec
gameoflife, simple, cpy_nanobind, 1.457 sec
gameoflife, complex, cpy_nanobind, 14.279 sec
gameoflife, single, cpy_pybind11, 0.069 sec
gameoflife, simple, cpy_pybind11, 2.834 sec
gameoflife, complex, cpy_pybind11, 19.016 sec
gameoflife, single, cpy_cppyy, 0.071 sec
gameoflife, simple, cpy_cppyy, 1.638 sec
gameoflife, complex, cpy_cppyy, 15.617 sec
gameoflife, single, pypy_cffi, 0.070 sec
gameoflife, simple, pypy_cffi, 0.210 sec
gameoflife, complex, pypy_cffi, 1.073 sec
mandelbrot, single, cpp, 0.345 sec
mandelbrot, simple, cpp, 0.361 sec
mandelbrot, complex, cpp, 0.356 sec
mandelbrot, single, cpy_cython, 0.394 sec
mandelbrot, simple, cpy_cython, 0.736 sec
mandelbrot, complex, cpy_cython, 0.965 sec
mandelbrot, single, cpy_swig, 0.332 sec
mandelbrot, simple, cpy_swig, 0.897 sec
mandelbrot, complex, cpy_swig, 1.109 sec
mandelbrot, single, cpy_manual, 0.346 sec
mandelbrot, simple, cpy_manual, 0.796 sec
mandelbrot, complex, cpy_manual, 1.105 sec
mandelbrot, single, cpy_cffi, 0.442 sec
mandelbrot, simple, cpy_cffi, 1.657 sec
mandelbrot, complex, cpy_cffi, 2.390 sec
mandelbrot, single, cpy_nanobind, 0.617 sec
mandelbrot, simple, cpy_nanobind, 1.088 sec
mandelbrot, complex, cpy_nanobind, 1.330 sec
mandelbrot, single, cpy_pybind11, 0.633 sec
mandelbrot, simple, cpy_pybind11, 1.772 sec
mandelbrot, complex, cpy_pybind11, 2.286 sec
mandelbrot, single, cpy_cppyy, 0.364 sec
mandelbrot, simple, cpy_cppyy, 1.946 sec
mandelbrot, complex, cpy_cppyy, 2.645 sec
mandelbrot, single, pypy_cffi, 0.463 sec
mandelbrot, simple, pypy_cffi, 0.889 sec
mandelbrot, complex, pypy_cffi, 1.181 sec
gameoflife, single, cpp, 0.071 sec
